star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color
Cordoba Durchmusterung -33°992,84.8,26.0,,V,+8.09,+6.02,0.34,B-V= +0.84
Bonner Durchmusterung +60°591,86.3,26.5,,V,+5.61,+3.49,3.50,B-V= +0.45
Bonner Durchmusterung +13°476,142,43.4,0.73,,+9.05,+5.86,0.39,B-V= +0.81
Luyten 54-5,76,23,,wd,+14.08,+12.25,0.001,B-V= +0.23
51 Arietis,69.0,21.2,,V,+6.67,+5.04,0.84,B-V= +0.72
Epsilon Fornacis,99.0,30.4,2.48,IV,+5.88,+3.46,3.58,B-V= +0.79
Tau(3) Eridani,86.2,26.4,1.79,IV,+4.08,+1.97,14.2,B-V= +0.16
Bonner Durchmusterung -6°594 ,115,35.3,0.81,V,+8.08,+5.34,0.64,B-V= +0.67
Bonner Durchmusterung +1°543 ,48.2,14.8,0.69,V,+9.07,+8.23,0.045,B-V= +1.38
Bonner Durchmusterung -14°604 ,103,31.5,,V,+6.97,+4.48,1.41,B-V= +0.65
Luyten 947-30,78,24,,V,+10.87,+8.99,0.02,B-V= +1.43
Giclas 221-5,39.3,12.1,,VI,+14.64,+14.23,0.00018,B-V= +1.79
Iota Persei,34.36,10.53,1.472,V,+4.05,+3.94,2.321,"B-V= +0.60, U-B= +0.12"
Catalogue Astrographique +45°133-65,43,13,,V,+10.15,+9.57,0.01,B-V= +1.49
Cordoba Durchmusterung -60°637 ,70.1,21.5,,V,+9.31,+7.65,0.076,B-V= +1.22
Ross 345,78,24,,V,+10.24,+8.35,0.04,B-V= +1.26
Luyten 227-140,36,11,,wd,+14.75,+14.55,0.0001,B-V= +0.52
Bonner Durchmusterung +8°482 ,72.5,22.2,0.85,V,+7.83,+6.10,0.32,B-V= +0.86
Cordoba Durchmusterung -26°1207 ,59.9,18.4,0.7,V,+9.17,+7.85,0.063,B-V= +1.24
Bonner Durchmusterung -46°968,79.5,24.4,0.98,V,+6.76,+4.83,1.02,B-V= +0.58
Bonner Durchmusterung +37°748 ,56.5,17.3,0.58,V,+10.29,+9.10,0.020,B-V= +1.48
Bonner Durchmusterung -3°534,80.5,24.7,,V,+7.05,+5.09,0.80,B-V= +0.66
Zeta(1) Reticuli,39.53,12.12,0.912,V,+5.53,+5.11,0.786,B-V= +0.64
Kappa Ceti,29.87,9.159,0.984,V,+4.83,+5.02,0.851,B-V= +0.68
Zeta(2) Reticuli,39.40,12.08,0.987,V,+5.24,+4.83,1.020,B-V= +0.60
82 Eridani,19.77,6.060,0.912,V,+4.26,+5.35,0.632,B-V= +0.71
Bonner Durchmusterung +51°722 ,74.1,22.7,,V?,+9.07,+7.29,0.11,B-V= +0.99
Bonner Durchmusterung -5°642 ,49.3,15.1,0.77,V,+7.86,+6.97,0.14,B-V= +1.16
Eggen/Greenstein white dwarf 566,52.6,16.1,,wd,+16.12,+15.08,0.000081,B-V= +0.80
Cordoba Durchmusterung -31°1384,102,31.4,0.8,V,+7.88,+5.39,0.61,B-V= +0.71
Bonner Durchmusterung -20°643 ,41.2,12.6,0.72,V,+8.39,+7.88,0.061,B-V= +1.33
Cape Photographic Durchmusterung -63°231 ,53.4,16.4,0.75,V,+8.08,+7.01,0.14,B-V= +1.12
Hy 207,52,16,,V,+10.79,+9.77,0.01,B-V= +1.39
Bonner Durchmusterung +37°783,50.2,15.4,,V?,+7.28,+6.34,0.25,
Epsilon Eridani,10.50,3.218,0.865,V,+3.73,+6.19,0.292,"B-V= +0.88, U-B= +0.58, R-I= +0.30"
Cordoba Durchmusterung -45°1184,40,12,,V?,+11.48,+11.06,0.003,B-V= +1.57
Cape Photographic Durchmusterung -48°376 ,43.6,13.4,0.68,V,+8.59,+7.96,0.057,B-V= +1.31
Gliese & Jahreiss 1061,11.9,3.66,,V,+13.03,+15.21,0.000072,B-V= +1.90
10 Tauri,44.7,13.7,1.62,V,+4.29,+3.61,3.14,B-V= +0.57
Wolf 1246,55,17,,V,+12.79,+11.64,0.002,
Bonner Durchmusterung -3°592 ,79.4,24.3,,V,+6.69,+4.76,1.09,B-V= +0.54
Bonner Durchmusterung -2°690 ,146,44.9,,,+6.96,+3.70,2.88,B-V= +0.96
Bonner Durchmusterung +3°515 ,73,22,,V,+9.59,+7.85,0.06,B-V= +1.37
Cordoba Durchmusterung -51°881 ,123,37.7,,V,+9.03,+6.15,0.30,B-V= +1.10
Delta Eridani,29.50,9.043,2.721,IV,+3.53,+3.75,2.764,B-V= +0.92
Bonner Durchmusterung +45°805 ,86.8,26.6,0.78,V?,+7.72,+5.59,0.50,B-V= +0.86
Bonner Durchmusterung +24°543 ,63,19,0.71,V?,+8.85,+7.41,0.09,B-V= +1.71
Wolf 219,57.9,17.8,,wd,+15.19,+13.94,0.00023,B-V= +0.31
Bonner Durchmusterung +11°514 ,68,21,,V,+9.15,+7.56,0.08,B-V= +1.18
Cordoba Durchmusterung -38°1264,52.9,16.2,0.84,V,+6.99,+5.94,0.37,B-V= +0.88
Bonner Durchmusterung +25°613 ,47.5,14.6,,V?,+9.61,+8.79,0.027,B-V= +1.47
Beta Reticuli,99.7,30.6,10.8,IV,+3.84,+1.41,23.8,B-V= +1.13
Bonner Durchmusterung +23°528 ,67,21,0.02,V,+8.38,+6.81,0.2,B-V= +0.29
Tau(6) Eridani,58.5,17.9,1.71,V,+4.22,+2.95,5.73,B-V= +0.42
Bonner Durchmusterung +23°548 ,72,22,,V,+9.24,+7.51,0.09,B-V= +0.54
Cape Photographic Durchmusterung -65°272 ,138,42.3,0.85,V,+7.85,+4.72,1.13,B-V= +0.66
vB 170 Hyades,132,40,0.67,V,+10.23,+7.20,0.1,B-V= +1.16
Giclas 160-28,31.1,9.53,,V,+12.79,+12.89,0.00061,B-V= +1.70
Wolf 227,31,9.6,,V?,+13.70,+13.79,0.0003,
Bonner Durchmusterung +27°589,363,111,,V,+7.84,+2.61,7.9,B-V= +0.84
Bonner Durchmusterung +60°762 ,69.5,21.3,0.83,V,+7.86,+6.22,0.28,B-V= +0.83
Bonner Durchmusterung +16°527 ,67.4,20.7,,V?,+6.85,+5.27,0.68,
